n,metodo,tempo_us
100000,selecao,9479515
100000,insercao,656246
100000,merge,8982
10000,selecao,78917
10000,insercao,6714
10000,merge,742
20000,selecao,330152
20000,insercao,27295
20000,merge,1480
30000,selecao,787095
30000,insercao,58745
30000,merge,2489
40000,selecao,1430218
40000,insercao,106151
40000,merge,3094
50000,selecao,2258300
50000,insercao,166323
50000,merge,4023
60000,selecao,3341032
60000,insercao,245647
60000,merge,5307
70000,selecao,4483595
70000,insercao,308974
70000,merge,5795
80000,selecao,5940349
80000,insercao,404849
80000,merge,6782
90000,selecao,7583833
90000,insercao,524307
90000,merge,7553
