n,metodo,tempo_us
100000,selecao,2431013
100000,insercao,1305752
100000,merge,3687
10000,selecao,24238
10000,insercao,13887
10000,merge,777
20000,selecao,97224
20000,insercao,51392
20000,merge,713
30000,selecao,219550
30000,insercao,119492
30000,merge,1016
40000,selecao,389898
40000,insercao,226426
40000,merge,1616
50000,selecao,611196
50000,insercao,339576
50000,merge,1855
60000,selecao,879134
60000,insercao,464587
60000,merge,2252
70000,selecao,1193361
70000,insercao,626495
70000,merge,2646
80000,selecao,1562861
80000,insercao,844247
80000,merge,2918
90000,selecao,1979776
90000,insercao,1084152
90000,merge,3446
