n,metodo,tempo_us
100000,selecao,2534124
100000,insercao,7004
100000,merge,7375
10000,selecao,31721
10000,insercao,651
10000,merge,601
20000,selecao,111149
20000,insercao,1289
20000,merge,1470
30000,selecao,244729
30000,insercao,2038
30000,merge,1843
40000,selecao,428481
40000,insercao,3159
40000,merge,2664
50000,selecao,654256
50000,insercao,3530
50000,merge,3136
60000,selecao,930715
60000,insercao,4043
60000,merge,3804
70000,selecao,1245644
70000,insercao,5352
70000,merge,4505
80000,selecao,1617236
80000,insercao,5578
80000,merge,5139
90000,selecao,1997934
90000,insercao,5917
90000,merge,6088
