n,metodo,tempo_us
100000,selecao,10970647
100000,insercao,1298431
100000,merge,6436
10000,selecao,39198
10000,insercao,12010
10000,merge,619
20000,selecao,151885
20000,insercao,53633
20000,merge,1362
30000,selecao,558488
30000,insercao,110691
30000,merge,1883
40000,selecao,1287322
40000,insercao,197404
40000,merge,2535
50000,selecao,2278537
50000,insercao,306682
50000,merge,3139
60000,selecao,3510687
60000,insercao,468346
60000,merge,3997
70000,selecao,5027160
70000,insercao,622927
70000,merge,4540
80000,selecao,6765369
80000,insercao,836275
80000,merge,5733
90000,selecao,8902449
90000,insercao,1094847
90000,merge,9108
